id,key,value,type
4357997,aeroway,runway,regular
4357997,airport_ref,ORD,regular
4357997,ref,9R/27L,regular
4357997,surface,concrete,regular
4383413,highway,service,regular
4383413,created_by,JOSM,regular
4596305,lanes,2,regular
4596305,oneway,yes,regular
4596305,highway,motorway_link,regular
4596305,cfcc,A63,tiger
4596305,lanes,left|right,turn
4596305,county,"DuPage, IL",tiger
4596305,reviewed,no,tiger
8397454,name,Davis Street,regular
8397454,highway,residential,regular
8397454,cfcc,A41,tiger
8397454,tlid,111743290:111743305:111743308:111743551:111743553:111743566:111743628:111743629:111743633:111743635:111743651:111743652:111743655:111743778:111743570:111743782:112386821:111743800:111743798:111743288,tiger
8397454,county,"Cook, IL",tiger
8397454,source,tiger_import_dch_v0.6_20070809,tiger
8397454,reviewed,no,tiger
8397454,zip_left,60201,tiger
8397454,name_base,Davis,tiger
8397454,name_type,St,tiger
8397454,separated,no,tiger
8397454,zip_right,60201,tiger
8397454,upload_uuid,bulk_upload.pl-ee310570-36cc-43bc-bc7b-aff94618acaf,tiger
17408190,name,Lincoln Street,regular
17408190,highway,residential,regular
17408190,cfcc,A41,tiger
17408190,county,"Lake, IN",tiger
17408190,reviewed,no,tiger
17408190,name_base,Lincoln,tiger
17408190,name_type,St,tiger
17408864,highway,residential,regular
17408864,cfcc,A41,tiger
17408864,tlid,98416694:98416695,tiger
17408864,county,"Lake, IN",tiger
17408864,source,tiger_import_dch_v0.6_20070810,tiger
17408864,reviewed,no,tiger
17408864,separated,no,tiger
17408864,upload_uuid,bulk_upload.pl-4d37b670-d7a9-48bd-a47e-757150514641,tiger
17409614,highway,residential,regular
17409614,cfcc,A41,tiger
17409614,tlid,98429037,tiger
17409614,county,"Lake, IN",tiger
17409614,source,tiger_import_dch_v0.6_20070810,tiger
17409614,reviewed,no,tiger
17409614,separated,no,tiger
17409614,upload_uuid,bulk_upload.pl-4d37b670-d7a9-48bd-a47e-757150514641,tiger
17410165,name,Bryan Street,regular
17410165,name_1,Lee,regular
17410165,highway,residential,regular
17410165,cfcc,A41,tiger
17410165,county,"Lake, IN",tiger
17410165,reviewed,no,tiger
17410165,name_base,Bryan,tiger
17410165,name_type,St,tiger
17410165,name_base_1,Lee,tiger
17410524,name,West 91st Avenue,regular
17410524,highway,tertiary,regular
17410524,cfcc,A41,tiger
17410524,county,"Lake, IN",tiger
17410524,reviewed,no,tiger
17410524,zip_left,46410,tiger
17410524,name_base,91st,tiger
